"""GRPCOL""","""HUM""","""TEMP""","""PWRA"""
43582.23264,37,31.9,1694.4
43582.23611,37,32,1703.4
43582.23958,38,32,1696.2
43582.24306,38,32.1,1840.4
43582.24653,39,32.1,1890.4
43582.25,39,32.1,1878.8
43582.25347,39,32.2,1882.2
43582.25694,39,32.2,1873
43582.26042,40,32.2,1874.8
43582.26389,40,32.2,1869.8
43582.26736,40,32.3,1879.2
43582.27083,40,32.3,1865.2
43582.27431,41,32.3,1854.8
43582.27778,41,32.3,1850.6
43582.28125,41,32.3,1844.8
43582.28472,41,32.4,1844.2
43582.28819,42,32.4,1854.4
43582.29167,42,32.4,1857
43582.29514,42,32.4,2014.4
43582.29861,42,32.5,2110.2
43582.30208,43,32.5,2127.6
43582.30556,43,32.5,2128.8
43582.30903,43,32.5,2115.6
43582.3125,43,32.5,2120.6
43582.31597,43,32.5,2101.6
43582.31944,43,32.5,2080.8
43582.32292,43,32.5,2083.4
43582.32639,43,32.5,2145.4
43582.32986,43,32.5,2153.6
43582.33333,43,32.5,2133.8
43582.33681,43,32.6,2128.4
43582.34028,43,32.6,2127.6
43582.34375,43,32.6,2133
43582.34722,43,32.6,2119.4
43582.35069,43,32.6,2131.8
43582.35417,44,32.6,2175.2
43582.35764,44,32.6,4515
43582.36111,44,32.6,4610.8
43582.36458,44,32.6,4439.8
43582.36806,44,32.7,4337.6
43582.37153,44,32.7,4376
43582.375,44,32.7,4314.2
43582.37847,44,32.7,2859
43582.38194,43,32.7,1696.6
43582.38542,43,32.8,1688.4
43582.38889,43,32.8,1724
43582.39236,43,32.8,1724.6
43582.39583,43,32.8,1715.4
43582.39931,43,32.9,1706.6
43582.40278,42,32.9,1732
43582.40625,42,32.9,1709.4
43582.40972,42,32.9,1715.4
43582.41319,42,33,1719.2
43582.41667,42,33,1744.2
43582.42014,42,33.1,1724.2
43582.42361,42,33.1,1713.2
43582.42708,42,33.2,1712.8
43582.43056,43,33.2,1717
43582.43403,42,33.3,1728.2
43582.4375,43,33.3,1707
43582.44097,43,33.4,1727.2
43582.44444,43,33.4,1721.2
43582.44792,42,33.5,1684.8
43582.45139,42,33.5,1682.8
43582.45486,41,33.6,1683.8
43582.45833,41,33.6,1664.4
43582.46181,41,33.7,1662.2
43582.46528,40,33.8,1681.6
43582.46875,40,33.8,1737.2
43582.47222,40,33.9,1703.6
43582.47569,40,34,1462.6
43582.47917,40,34.1,1433.8
43582.48264,40,34.1,1440.6
43582.48611,39,34.2,1469.2
43582.48958,39,34.3,2946.4
43582.49306,39,34.4,1463.4
43582.49653,38,34.5,1439.4
43582.5,38,34.5,1609.6
